iter	RMSE
157	25888.16702
158	25816.09344
159	25726.94567
160	25640.06743
161	25584.73321
162	25546.91418
163	25480.35922
164	25400.32498
165	25324.82845
166	25279.43915
167	25215.24046
168	25154.33162
169	25073.21482
170	24987.74017
171	24951.21658
172	24897.33672
173	24826.45133
174	24758.69304
175	24698.60433
176	24675.85312
177	24651.22484
178	24592.98352
179	24541.7885
180	24487.67956
181	24453.11913
182	24428.02036
183	24375.96995
184	24335.63161
185	24296.47079
186	24223.91151
187	24188.35274
188	24138.96171
189	24085.06842
190	24032.90202
191	23986.67306
192	23934.80434
193	23893.98428
194	23823.83043
195	23783.94574
196	23757.40617
197	23702.73823
198	23657.34568
199	23595.86351
200	23581.79288
201	23540.31723
202	23500.5328
203	23450.60994
204	23408.52445
205	23395.31542
206	23352.62536
207	23303.4821
208	23274.04674
209	23215.61329
210	23163.26195
211	23127.4853
212	23072.25825
213	23039.02264
214	22998.32635
215	22962.06176
216	22933.72879
217	22902.94769
218	22862.25055
219	22815.86014
220	22804.79453
221	22773.33685
222	22735.24901
223	22704.33696
224	22669.7523
225	22647.50591
226	22623.93577
227	22574.55404
228	22549.90774
229	22516.88405
230	22491.25306
231	22460.71632
232	22410.8684
233	22379.27094
234	22358.54994
235	22326.10398
236	22303.8514
237	22271.41163
238	22241.54107
239	22210.44597
240	22183.43109
241	22156.77626
242	22127.7643
243	22099.68454
244	22089.40787
245	22043.02429
246	21994.12544
247	21978.27058
248	21913.62094
249	21869.32928
250	21846.22186
251	21831.27482
252	21814.91019
253	21777.09401
254	21745.59546
255	21730.77489
256	21709.67056
257	21685.15487
258	21656.6017
259	21641.3001
260	21591.68359
261	21573.43465
262	21552.8009
263	21525.16458
264	21498.94083
265	21466.17359
266	21441.75931
267	21428.23265
268	21408.9847
269	21391.90301
270	21375.13749
271	21360.70971
272	21335.66539
273	21311.61375
274	21291.31578
275	21264.80403
276	21258.99957
277	21244.79108
278	21230.93644
279	21219.85193
280	21205.01574
281	21181.42485
282	21159.4475
283	21142.67606
284	21126.99543
285	21111.94499
286	21096.35284
287	21079.7647
288	21066.55173
289	21043.90738
290	21030.90585
291	21014.38554
292	21006.44644
293	20994.29141
294	20955.20888
295	20937.19734
296	20928.55326
297	20898.75557
298	20891.77861
299	20883.78357
300	20871.73359
301	20860.77958
302	20832.90682
303	20827.79086
304	20814.63371
305	20807.96411
306	20796.93346
307	20783.02158
308	20778.38582
309	20739.9278
310	20711.83816
311	20686.13951
312	20637.39328
313	20632.4192
314	20618.89662
315	20608.51572
316	20602.65915
317	20560.17595
318	20525.41908
319	20519.59899
320	20510.51518
321	20499.57173
322	20492.68241
323	20479.84444
324	20472.39872
325	20461.68499
326	20459.53529
327	20447.48038
328	20446.1571
329	20419.219
330	20403.64899
331	20397.05879
332	20392.6291
333	20382.11863
334	20377.28313
335	20365.13911
336	20354.56027
337	20334.73227
338	20332.65179
339	20321.24212
340	20279.33011
341	20272.09201
342	20267.2313
343	20259.7154
344	20231.32689
345	20223.47454
346	20219.32023
347	20211.71112
348	20202.23492
349	20184.83049
350	20170.13902
351	20161.50666
352	20148.19763
353	20138.29654
354	20133.64518
355	20128.89792
356	20123.66102
357	20103.03459
358	20093.3051
359	20090.09908
360	20077.73853
361	20055.82879
362	20040.04607
363	20032.71891
364	20022.76114
365	20007.25953
366	19983.12726
367	19937.35536
368	19931.22555
369	19913.18227
370	19902.58877
371	19898.48358
372	19893.81896
373	19891.06168
374	19858.0202
375	19835.39345
376	19806.96044
377	19802.62563
378	19776.93332
379	19772.68506
380	19770.10414
381	19732.10926
382	19716.36781
383	19713.26299
384	19706.48472
385	19695.4064
386	19691.91717
387	19687.39912
388	19678.1314
389	19672.98608
390	19666.98885
391	19628.72377
392	19621.39083
393	19597.99139
394	19588.26116
395	19584.13152
396	19581.33963
397	19569.72571
398	19567.70809
399	19553.60385
400	19526.88607
401	19517.97585
402	19514.42894
403	19512.17315
404	19510.13701
405	19499.00751
406	19487.15618
407	19479.34168
408	19476.77638
409	19475.06868
410	19470.38208
411	19451.01866
412	19434.28443
413	19430.49021
414	19413.27844
415	19408.70153
416	19401.5173
417	19367.82083
418	19365.18583
419	19358.20717
420	19354.12773
421	19352.60137
422	19347.65891
423	19346.25056
424	19338.51464
425	19304.65352
426	19294.60355
427	19270.83526
428	19260.6054
429	19258.20458
430	19255.96957
431	19248.93235
432	19230.56195
433	19218.4671
434	19216.46609
435	19214.68157
436	19209.95183
437	19208.95283
438	19200.27244
439	19198.93191
440	19191.69475
441	19180.49134
442	19178.96618
443	19176.85786
444	19169.89083
445	19161.05691
446	19159.82771
447	19158.53804
448	19130.23393
449	19117.32464
450	19115.25767
451	19109.9964
452	19107.37393
453	19096.33787
454	19095.15012
455	19079.32187
456	19078.48594
457	19075.69486
458	19045.87515
459	19027.78504
460	19011.761
461	19010.22897
462	19008.8899
463	19007.80352
464	19006.9207
465	19002.83536
466	18988.3381
467	18984.55629
468	18976.06471
469	18973.63357
470	18972.08807
471	18960.88611
472	18952.07692
473	18947.65058
474	18946.19836
475	18945.43091
476	18928.83179
477	18926.75543
478	18920.24075
479	18918.81521
480	18917.08564
481	18904.00986
482	18887.45927
483	18885.76449
484	18872.09916
485	18871.36202
486	18861.49025
487	18856.41967
488	18855.58576
489	18842.36602
490	18836.86289
491	18825.93464
492	18822.90171
493	18813.25571
494	18810.85259
495	18801.4749
496	18793.1879
497	18792.35806
498	18788.2771
499	18776.79912
500	18756.36358
501	18752.63821
502	18751.31145
503	18747.43697
504	18740.779
505	18739.07197
506	18735.95489
507	18734.92441
508	18711.16028
509	18695.44954
510	18691.25814
511	18687.60697
512	18686.94819
513	18685.45911
514	18672.60356
515	18671.09546
516	18669.47768
517	18668.68222
518	18661.19411
519	18660.41202
520	18652.09057
521	18647.63913
522	18622.10606
523	18607.29001
524	18606.02294
525	18605.48372
526	18593.13956
527	18587.8089
528	18580.84608
529	18575.19201
530	18574.33831
531	18574.13285
532	18567.03728
533	18565.92097
534	18562.45475
535	18561.79744
536	18546.003
537	18545.26738
538	18544.26969
539	18543.05348
540	18542.23059
541	18532.14673
542	18531.03228
543	18530.51147
544	18521.31167
545	18504.78649
546	18503.53241
547	18502.34282
548	18501.01086
549	18497.42917
550	18467.55196
551	18464.88733
552	18463.24107
553	18461.47678
554	18458.56313
555	18450.0454
556	18440.23902
557	18439.43095
558	18438.7909
559	18438.16938
560	18436.02163
561	18430.65129
562	18420.10297
563	18418.13786
564	18416.82756
565	18416.01235
566	18396.35908
567	18395.37855
568	18394.54965
569	18393.58913
570	18393.17343
571	18392.51704
572	18359.36146
573	18356.5717
574	18355.90633
575	18354.01499
576	18343.41435
577	18342.30997
578	18341.71554
579	18320.37976
580	18319.51292
581	18318.93268
582	18310.61532
583	18309.43012
584	18303.41255
585	18295.95528
586	18295.27965
587	18290.00331
588	18289.35332
589	18285.61031
590	18276.09257
591	18268.87677
592	18267.80191
593	18267.24333
594	18264.37762
595	18238.1451
596	18232.47342
597	18231.83486
598	18228.50415
599	18226.51337
600	18222.4824
601	18219.46137
602	18218.9478
603	18216.30504
604	18213.7491
605	18210.17354
606	18199.69476
607	18190.87234
608	18166.9191
609	18165.27984
610	18159.76307
611	18158.6917
612	18138.26122
613	18122.22854
614	18121.76184
615	18120.98646
616	18119.16056
617	18104.4974
618	18103.94635
619	18099.27234
620	18085.63848
621	18084.33889
622	18060.03995
623	18054.5862
624	18054.03528
625	18050.15669
626	18037.15633
627	18034.34154
628	18031.93819
629	18029.69481
630	18020.26616
631	18019.93675
632	18019.33487
633	18003.48479
634	18001.91577
635	17996.44569
636	17992.40665
637	17989.10477
638	17986.48469
639	17983.07973
640	17978.88622
641	17953.43259
642	17951.5602
643	17950.57937
644	17949.74237
645	17949.09085
646	17947.07825
647	17946.53771
648	17945.89989
649	17934.33725
650	17927.29478
651	17915.31673
652	17914.14641
653	17913.78985
654	17902.46034
655	17902.1446
656	17890.86985
657	17865.74016
658	17865.55267
659	17839.01996
660	17825.32004
661	17817.42094
662	17805.44073
663	17803.77925
664	17802.49503
665	17800.05948
666	17786.2402
667	17778.75011
668	17774.75225
669	17772.16456
670	17768.91956
671	17768.469
672	17762.75151
673	17761.34869
674	17760.81558
675	17759.79918
676	17742.77614
677	17734.83962
678	17713.10817
679	17711.79358
680	17711.40603
681	17711.05822
682	17708.75612
683	17708.39488
684	17708.0211
685	17707.12225
686	17685.41945
687	17684.67752
688	17671.67123
689	17669.47269
690	17641.76192
691	17641.56354
692	17640.12723
693	17638.18228
694	17638.11468
695	17614.37805
696	17614.29345
697	17611.71412
698	17606.90926
699	17605.56713
700	17604.03453
701	17577.11859
702	17572.05555
703	17568.72549
704	17567.02811
705	17566.80935
706	17561.47423
707	17553.99658
708	17550.27411
709	17546.83847
710	17544.30804
711	17542.96294
712	17541.65959
713	17539.65901
714	17524.54354
715	17522.55005
716	17521.77802
717	17515.31582
718	17511.04754
719	17502.93782
720	17501.29028
721	17500.90349
722	17497.75884
723	17497.46958
724	17495.34796
725	17495.02223
726	17492.97387
727	17490.42439
728	17488.6906
729	17485.47283
730	17483.7853
731	17471.93347
732	17471.3723
733	17462.78402
734	17456.67198
735	17448.4822
736	17447.14687
737	17442.93703
738	17442.13579
739	17441.39256
740	17434.2277
741	17410.60814
742	17404.85128
743	17403.73436
744	17403.50607
745	17402.74264
746	17393.25662
747	17391.4379
748	17385.64097
749	17384.06414
750	17367.52856
751	17353.14163
752	17345.64344
753	17343.69836
754	17339.88647
755	17339.37709
756	17338.6661
757	17331.38944
758	17329.31273
759	17314.55391
760	17308.41387
761	17305.8723
762	17300.52599
763	17300.35616
764	17300.05767
765	17290.71198
766	17286.2973
767	17284.60827
768	17280.6109
769	17265.04234
770	17264.05372
771	17263.15803
772	17256.87692
773	17254.41989
774	17254.0493
775	17238.22627
776	17235.7009
777	17235.57527
778	17213.55685
779	17208.30939
780	17190.62929
781	17181.8694
782	17176.94166
783	17173.06955
784	17172.38471
785	17169.56915
786	17168.25341
787	17165.00674
788	17164.36778
789	17162.64847
790	17161.94672
791	17148.26809
792	17143.14308
793	17140.40327
794	17140.22766
795	17138.21025
796	17133.17566
797	17132.96097
798	17124.52118
799	17114.61263
800	17111.66389
801	17101.138
802	17099.75805
803	17099.53426
804	17099.31657
805	17085.40651
806	17081.41548
807	17080.32549
808	17078.71283
809	17078.64646
810	17078.59334
811	17074.63361
812	17063.75208
813	17063.53669
814	17062.72779
815	17056.46833
816	17051.77733
817	17039.84238
818	17038.24531
819	17018.51295
820	17010.91407
821	17010.02524
822	17007.67075
823	16997.26854
824	16996.98334
825	16980.50078
826	16980.22578
827	16979.28924
828	16978.70207
829	16978.41679
830	16972.42117
831	16964.55404
832	16955.62294
833	16955.44457
834	16953.17116
835	16952.92276
836	16943.49211
837	16942.68783
838	16942.6049
839	16923.49566
840	16921.68218
841	16920.93051
842	16907.6154
843	16907.01403
844	16906.22842
845	16903.63908
846	16903.28058
847	16902.75159
848	16888.22614
849	16883.9738
850	16876.05971
851	16871.02855
852	16869.85101
853	16868.24353
854	16867.9815
855	16863.5424
856	16861.43993
857	16860.37569
858	16859.36239
859	16854.3908
860	16853.86953
861	16846.64141
862	16845.40928
863	16845.03913
864	16844.76271
865	16844.45993
866	16822.56981
867	16802.525
868	16802.32253
869	16790.82244
870	16788.15986
871	16775.80383
872	16775.58826
873	16774.76377
874	16773.8888
875	16773.70486
876	16749.25896
877	16747.56088
878	16739.16079
879	16735.87047
880	16734.73366
881	16732.84983
882	16723.47933
883	16723.38683
884	16722.83472
885	16722.13192
886	16719.24092
887	16718.02524
888	16717.44223
889	16717.14339
890	16715.68114
891	16715.4426
892	16714.73652
893	16696.64417
894	16695.01075
895	16694.30182
896	16693.93857
897	16681.76217
898	16679.79942
899	16679.05781
900	16663.49441
901	16659.91114
902	16656.18909
903	16654.96432
904	16653.93524
905	16649.02319
906	16648.58274
907	16648.43157
908	16647.13153
909	16642.65107
910	16635.02652
911	16616.3885
912	16615.4979
913	16613.48801
914	16611.50617
915	16610.0476
916	16609.87838
917	16607.59382
918	16607.41648
919	16606.61577
920	16604.57008
921	16603.54571
922	16600.95482
923	16596.5046
924	16596.00092
925	16593.56457
926	16592.10437
927	16591.8074
928	16590.88861
929	16590.69997
930	16590.51527
931	16588.97351
932	16588.69675
933	16587.94754
934	16561.79964
935	16561.60818
936	16561.42776
937	16561.28253
938	16559.29447
939	16540.76857
940	16538.57048
941	16513.74419
942	16512.45249
943	16512.35969
944	16506.09154
945	16505.94377
946	16505.6179
947	16501.5066
948	16489.0451
949	16481.66966
950	16481.24565
951	16468.59229
952	16468.22619
953	16450.59783
954	16450.50888
955	16450.00366
956	16449.1858
957	16449.08857
958	16448.99495
959	16443.52934
960	16441.97869
961	16441.33063
962	16437.79395
963	16437.70242
964	16428.50486
965	16425.24663
966	16419.76367
967	16419.6017
968	16419.43121
969	16402.14459
970	16401.90838
971	16393.1611
972	16393.08852
973	16383.28486
974	16383.07818
975	16381.17624
976	16381.074
977	16380.86744
978	16364.20354
979	16364.04424
980	16357.3541
981	16355.80603
982	16354.67016
983	16354.60581
984	16353.43671
985	16352.74425
986	16351.37305
987	16350.27057
988	16339.2103
989	16334.73572
990	16334.51393
991	16329.66912
992	16327.2305
993	16326.55959
994	16325.52014
995	16325.45688
996	16322.80828
997	16318.91564
998	16315.47862
999	16300.60933
